Date,Year,Month,SpawningMonth,Colony.ID,Bundle.ID,Egg.Rep,Area.mm2,Diameter.mm,vol.mm3
20170525,2017,May,1,175/327,F869,12,0.159,0.449,0.047395518
20170525,2017,May,1,175/327,F869,13,0.184,0.479,0.057544629
20170525,2017,May,1,175/327,F870,1,0.191,0.504,0.067033187
20170525,2017,May,1,175/327,F870,2,0.186,0.492,0.062358199
20170525,2017,May,1,175/327,F870,3,0.201,0.524,0.075334189
20170525,2017,May,1,175/327,F870,4,0.181,0.482,0.058632629
20170525,2017,May,1,175/327,F870,5,0.167,0.466,0.052985374
20170525,2017,May,1,175/327,F870,6,0.197,0.512,0.070276179
20170525,2017,May,1,175/327,F870,7,0.194,0.492,0.062358199
20170525,2017,May,1,175/327,F870,8,0.189,0.494,0.06312176
20170525,2017,May,1,175/327,F870,9,0.194,0.499,0.065057878
20170525,2017,May,1,175/327,F870,10,0.189,0.488,0.060849599
20170525,2017,May,1,175/327,F870,11,0.02,0.151,0.001802723
20170525,2017,May,1,175/327,F870,12,0.179,0.473,0.055409174
20170525,2017,May,1,175/327,F871,1,0.1539,0.46067,0.051187987
20170525,2017,May,1,175/327,F871,2,0.1039,0.38358,0.029550588
20170525,2017,May,1,175/327,F871,3,0.1843,0.52215,0.074539093
20170525,2017,May,1,175/327,F871,4,0.1711,0.4795,0.05772502
20170525,2017,May,1,175/327,F871,5,0.1597,0.45986,0.050918448
20170525,2017,May,1,175/327,F871,6,0.1366,0.42178,0.039287664
20170525,2017,May,1,175/327,F871,7,0.1629,0.48487,0.059686237
20170525,2017,May,1,175/327,F871,8,0.1599,0.46117,0.051354842
20170525,2017,May,1,175/327,F871,9,0.1627,0.47912,0.057587889
20170525,2017,May,1,175/327,F871,10,0.156,0.4542,0.049061367
20170525,2017,May,1,175/327,F871,11,0.1642,0.46067,0.051187987
20170525,2017,May,1,175/327,F872,1,0.176,0.486,0.06010451
20170525,2017,May,1,175/327,F872,2,0.176,0.485,0.059734258
20170525,2017,May,1,175/327,F872,3,0.188,0.511,0.069865208
20170525,2017,May,1,175/327,F872,4,0.173,0.493,0.062739205
20170525,2017,May,1,175/327,F872,5,0.173,0.481,0.058268453
20170525,2017,May,1,175/327,F872,6,0.185,0.483,0.05899832
20170525,2017,May,1,175/327,F872,7,0.161,0.507,0.068237347
20170525,2017,May,1,175/327,F872,8,0.066,0.353,0.023031508
20170525,2017,May,1,175/327,F872,9,0.18,0.499,0.065057878
20170525,2017,May,1,175/327,F872,10,0.192,0.507,0.068237347
20170525,2017,May,1,175/327,F872,11,0.198,0.497,0.06427875
20170525,2017,May,1,175/327,F872,12,0.184,0.485,0.059734258
20170525,2017,May,1,175/327,F872,13,0.172,0.479,0.057544629
20170525,2017,May,1,175/327,F873,1,0.1212,0.3941,0.032049227
20170525,2017,May,1,175/327,F873,2,0.1474,0.44444,0.045966102
20170525,2017,May,1,175/327,F873,3,0.166,0.46209,0.051662803
20170525,2017,May,1,175/327,F873,4,0.1546,0.43577,0.043328159
20170525,2017,May,1,175/327,F873,5,0.1626,0.46642,0.053128769
20170525,2017,May,1,175/327,F873,6,0.1573,0.44984,0.047662022
20170525,2017,May,1,175/327,F873,7,0.1589,0.44621,0.046517477
20170525,2017,May,1,175/327,F873,8,0.1542,0.45341,0.048805812
20170525,2017,May,1,175/327,F873,9,0.1581,0.45974,0.050878597
20170525,2017,May,1,175/327,F873,10,0.1396,0.42268,0.039539698
20170525,2017,May,1,175/327,F873,11,0.1552,0.44772,0.04699133
20170525,2017,May,1,175/327,F873,12,0.1545,0.44886,0.047351198
20170525,2017,May,1,175/327,F873,13,0.1321,0.41047,0.036211167
20170525,2017,May,1,175/327,F873,14,0.1315,0.40655,0.03518359
20170525,2017,May,1,175/327,F873,15,0.1498,0.43712,0.043732096
20170525,2017,May,1,175/327,F873,16,0.1526,0.44099,0.044903943
20170525,2017,May,1,175/327,F873,17,0.1516,0.43918,0.044353298
20170525,2017,May,1,175/327,F873,18,0.1518,0.44632,0.046551888
20170525,2017,May,1,125/335,F864,1,0.177,0.472,0.055058484
20170525,2017,May,1,125/335,F864,2,0.172,0.468,0.053670521
20170525,2017,May,1,125/335,F864,3,0.173,0.482,0.058632629
20170525,2017,May,1,125/335,F864,4,0.167,0.463,0.051968625
20170525,2017,May,1,125/335,F864,5,0.161,0.458,0.050303093
20170525,2017,May,1,125/335,F864,6,0.181,0.483,0.05899832
20170525,2017,May,1,125/335,F864,7,0.158,0.45,0.047712898
20170525,2017,May,1,125/335,F864,8,0.164,0.464,0.052306083
20170525,2017,May,1,125/335,F864,9,0.174,0.471,0.054709277
20170525,2017,May,1,125/335,F864,10,0.179,0.49,0.06160082
20170525,2017,May,1,125/335,F864,11,0.175,0.48,0.057905787
20170525,2017,May,1,125/335,F864,12,0.173,0.477,0.056826825
20170525,2017,May,1,125/335,F864,13,0.174,0.483,0.05899832
20170525,2017,May,1,125/335,F864,14,0.178,0.479,0.057544629
20170525,2017,May,1,125/335,F864,15,0.144,0.427,0.040764478
20170525,2017,May,1,125/335,F865,1,0.164,0.457,0.049974316
20170525,2017,May,1,125/335,F865,2,0.167,0.464,0.052306083
20170525,2017,May,1,125/335,F865,3,0.167,0.476,0.056470172
20170525,2017,May,1,125/335,F865,4,0.164,0.465,0.052644998
20170525,2017,May,1,125/335,F865,5,0.187,0.506,0.067834372
20170525,2017,May,1,125/335,F865,6,0.177,0.493,0.062739205
20170525,2017,May,1,125/335,F865,7,0.178,0.48,0.057905787
20170525,2017,May,1,125/335,F865,8,0.178,0.479,0.057544629
20170525,2017,May,1,125/335,F865,9,0.189,0.497,0.06427875
20170525,2017,May,1,125/335,F865,10,0.168,0.469,0.054015299
20170525,2017,May,1,125/335,F865,11,0.19,0.502,0.066238335
20170525,2017,May,1,125/335,F865,12,0.16,0.459,0.050633309
20170525,2017,May,1,125/335,F865,13,0.167,0.471,0.054709277
20170525,2017,May,1,125/335,F865,14,0.18,0.493,0.062739205
20170525,2017,May,1,125/335,F865,15,0.17,0.471,0.054709277
20170525,2017,May,1,125/335,F865,16,0.168,0.464,0.052306083
20170525,2017,May,1,125/335,F865,17,0.155,0.455,0.049321065
20170525,2017,May,1,125/335,F865,18,0.162,0.453,0.048673532
20170525,2017,May,1,125/335,F866,1,0.152,0.444,0.045829716
20170525,2017,May,1,125/335,F866,2,0.182,0.485,0.059734258
20170525,2017,May,1,125/335,F866,3,0.163,0.463,0.051968625
20170525,2017,May,1,125/335,F866,4,0.166,0.466,0.052985374
20170525,2017,May,1,125/335,F866,5,0.176,0.474,0.05576135
20170525,2017,May,1,125/335,F866,6,0.165,0.457,0.049974316
20170525,2017,May,1,125/335,F866,7,0.173,0.473,0.055409174
20170525,2017,May,1,125/335,F866,8,0.161,0.451,0.048031691
20170525,2017,May,1,125/335,F866,9,0.162,0.466,0.052985374
20170525,2017,May,1,125/335,F866,10,0.152,0.441,0.044906998
20170525,2017,May,1,125/335,F866,11,0.17,0.465,0.052644998
20170525,2017,May,1,125/335,F866,12,0.173,0.471,0.054709277
20170525,2017,May,1,125/335,F867,1,0.177,0.465,0.052644998
20170525,2017,May,1,125/335,F867,2,0.177,0.464,0.052306083
20170525,2017,May,1,125/335,F867,3,0.168,0.464,0.052306083
20170525,2017,May,1,125/335,F867,4,0.186,0.482,0.058632629
20170525,2017,May,1,125/335,F867,5,0.172,0.461,0.051298071
20170525,2017,May,1,125/335,F867,6,0.195,0.496,0.06389153
20170525,2017,May,1,125/335,F867,7,0.169,0.46,0.050964967
20170525,2017,May,1,125/335,F867,8,0.176,0.478,0.057184976
20170525,2017,May,1,125/335,F867,9,0.171,0.463,0.051968625
20170525,2017,May,1,125/335,F867,10,0.168,0.457,0.049974316
20170525,2017,May,1,125/335,F867,11,0.173,0.464,0.052306083
20170525,2017,May,1,125/335,F867,12,0.161,0.451,0.048031691
20170525,2017,May,1,125/335,F867,13,0.17,0.466,0.052985374
20170525,2017,May,1,125/335,F867,14,0.17,0.471,0.054709277
20170525,2017,May,1,125/335,F867,15,0.155,0.453,0.048673532
20170525,2017,May,1,125/335,F867,16,0.161,0.454,0.048996585
20170525,2017,May,1,125/335,F867,17,0.176,0.474,0.05576135
20170525,2017,May,1,125/335,F867,18,0.159,0.449,0.047395518
20170525,2017,May,1,125/335,F867,19,0.149,0.431,0.041920849
20170525,2017,May,1,125/335,F868,1,0.1675,0.47282,0.05534594
20170525,2017,May,1,125/335,F868,2,0.1627,0.45529,0.049415431
20170525,2017,May,1,125/335,F868,3,0.1698,0.46648,0.053149275
20170525,2017,May,1,125/335,F868,4,0.1777,0.47447,0.055927387
20170525,2017,May,1,125/335,F868,5,0.1582,0.44909,0.047424025
20170525,2017,May,1,125/335,F868,6,0.1679,0.45456,0.049178118
20170525,2017,May,1,125/335,F868,7,0.1215,0.3958,0.032465764
20170525,2017,May,1,125/335,F868,8,0.1727,0.46741,0.053467793
20170525,2017,May,1,125/335,F868,9,0.1622,0.45732,0.050079368
20170525,2017,May,1,125/335,F868,10,0.1691,0.47486,0.056065412
20170525,2017,May,1,125/335,F868,11,0.168,0.46714,0.053375189
20170525,2017,May,1,125/335,F868,12,0.1686,0.46288,0.051928228
20170525,2017,May,1,125/335,F868,13,0.1431,0.41624,0.037759801
20170525,2017,May,1,125/335,F868,14,0.1797,0.48312,0.059042305
20170526,2017,May,1,146/326,B016,1,0.139,0.421,0.039070102
20170526,2017,May,1,146/326,B016,2,0.137,0.425,0.040194353
20170526,2017,May,1,146/326,B016,3,0.147,0.449,0.047395518
20170526,2017,May,1,146/326,B016,4,0.14,0.42,0.038792353
20170526,2017,May,1,146/326,B016,5,0.133,0.415,0.03742334
20170526,2017,May,1,146/326,B016,6,0.145,0.438,0.043996749
20170526,2017,May,1,146/326,B016,7,0.142,0.432,0.042213319
20170526,2017,May,1,146/326,B016,8,0.152,0.448,0.047079549
20170526,2017,May,1,146/326,B016,9,0.129,0.407,0.035300551
20170526,2017,May,1,146/326,B016,10,0.151,0.432,0.042213319
20170526,2017,May,1,146/326,B016,11,0.134,0.417,0.037967012
20170526,2017,May,1,146/326,B016,12,0.139,0.419,0.038515924
20170526,2017,May,1,146/326,B017,1,0.159,0.443,0.045520753
20170526,2017,May,1,146/326,B017,2,0.143,0.424,0.039911296
20170526,2017,May,1,146/326,B017,3,0.117,0.39,0.03105933
20170526,2017,May,1,146/326,B017,4,0.107,0.366,0.025670925
20170526,2017,May,1,146/326,B017,5,0.156,0.444,0.045829716
20170526,2017,May,1,146/326,B017,6,0.132,0.407,0.035300551
20170526,2017,May,1,146/326,B017,7,0.144,0.429,0.041339968
20170526,2017,May,1,146/326,B017,8,0.159,0.455,0.049321065
